tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep,pl_tranmid,pl_trandurh
458478250,1165.01,KP,9.76703,2.2552845,20820.0,2460352.823449,2.05
138361973,1166.01,FP,9.7604,1.8824539,1391.0,2460556.103196,2.46
232967666,1167.01,FP,10.3874,15.196,1970.0,2458689.11633,1.792
41330864,1168.01,FP,10.381,2.1358631,10325.0,2460363.632024,1.559
302518439,1169.01,PC,10.6405,6.7075429,11920.0,2460323.760513,2.125
322307342,117.01,KP,11.7806,3.5862962,5729.3246858,2459063.655791,3.3710943
294176967,1170.01,FP,10.349,1.8296155,1406.0,2460556.995021,2.166
101929303,1171.01,FP,10.3075,11.1876137,4924.0,2460541.381489,3.183
287156968,1230.01,CP,9.6245,25.0571312,533.486013,2458620.316686,7.5424225
447061717,1231.01,CP,10.2565,24.2454967,6260.6703602,2458563.890468,3.3725583
364395234,1232.01,CP,11.7835,14.2545623,7899.6939555,2458544.021225,4.7250029
260647166,1233.01,CP,8.6522,14.1758947,907.1324529,2459308.481159,3.7543827
260647166,1233.02,CP,8.6522,19.5901578,1182.6678641,2459311.402774,4.002861
260647166,1233.03,CP,8.6522,6.2036219,548.9044399,2459310.632995,3.01098
260647166,1233.04,CP,8.6522,3.79589,317.5272928,2458572.107559,2.4602856
90504905,1234.01,FP,13.7991,2.2645386,15019.9420903,2458685.613152,3.8193701
103633434,1235.01,CP,9.91924,3.4447015,796.0,2460333.631473,1.912
120757718,1236.01,KP,11.0248,3.0300715,21794.6136956,2459422.690639,2.5466671
120960812,1237.01,KP,10.2768,12.72038,1070.0,2459781.665928,2.401
120960812,1237.02,KP,10.2768,6.238755,373.5681138,2458685.409943,3.6178567
153951307,1238.01,CP,11.2582,3.2947689,1324.0402774,2458684.28731,1.7483103
153951307,1238.02,CP,11.2582,0.7645807,394.9832006,2458684.104681,1.07057
154716798,1239.01,CP,10.7192,12.6396982,3292.6812864,2459604.095801,3.3830702
29831208,124.01,APC,11.1311,1.8428078,1950.0,2460042.199513,1.449
287776397,1205.01,PC,8.3902,2.3922703,63.575141,2458383.241223,9.0053425
308034948,1206.01,FP,8.6014,0.831542,248.969585,2458569.713498,1.985538
364393429,1207.01,PC,9.2397,2.6282553,75.2858004,2458325.539664,2.0930597
273985865,1208.01,PC,10.5924,3.4239436,443.6391381,2458327.476703,1.9601023
273985865,1208.02,PC,10.5924,10.983042,725.1724567,2458331.120311,3.7478987
273985865,1208.03,PC,10.5924,17.726449,747.7725499,2458341.801726,3.4404719
30037565,1209.01,PC,9.597,40.7199388,355.619391,2458337.088331,4.2436925
207081058,121.01,APC,9.9358,14.7741056,15041.0,2459074.32911,5.504
33878688,1210.01,FP,11.1762,79.3739596,1227.0,2459187.361317,5.392
50312495,1211.01,PC,9.8135,18.1663644,624.0,2460180.146446,2.464
389924075,1212.01,PC,10.4016,105.5850893,462.9116325,2458402.036518,11.6068811
399144800,1213.01,FP,10.6392,27.2149622,4731.4046225,2458576.189436,3.7190483
